# morfessor1.0.perl, Mon Jun  6 23:43:37 2011
# Working dir: # -data 'bijankhan.txt'
# -finish 0.005
# -rand 0
# -savememory: OFF
# -gammalendistr: OFF
# -zipffreqdistr: OFF
# -load: OFF
# -trace 0
# Vocabulary:
10463 #
758 اولین
55 سیاره
1068 خارج
60694 از
32 منظومه
118 شمسی
507 دیده
8379 شد
83991 .
327 واشنگتن
8423 ـ
1002 خبرگزاری
2320 جمهوری
4623 اسلامی
16 ستارهشناسان
453 میگویند
49681 که
876 ممکن
37615 است
35830 را
979 باشند
960 طی
735 سالهای
943 اخیر
94662 ،
1584 بیش
5784 دو
4 دو + جین
85719 در
88 مدار
293 اطراف
9 ستاره + ها
671 کشف
885 شدهاند
99 لیکن
235 هرگز
42018 این
5 سیاره + ها
128 واقعاً
33 ندیده
1696 بودند
120557 و
733 فقط
959 طریق
118 شواهد
1 لرزش + ها
4 اثرات + ی
1682 آنان
10556 بر
3 اجرا + م
10295 خود
10 میگذاشتند
530 موفق
68966 به
302 ثبت
11 سیارات
8330 شده
1314 چنین
249 تصور
701 میشد
6 لرزش
935 علت
31 جاذبه
2 سیار + های
2327 بوده
684 آخرین
683 تحقیق
24 بهعملآمده
6401 نیز
792 هنوز
29 رویت
325 مستقیم
50 نشدهاند
876 بلکه
31 درخشش
20 ستارهای
35 دیدهاند
270 اعتقاد
4442 آنها
1399 توسط
12124 یک
75 منعکس
648 بنا
2404 گزارش
1 کور + کننده
279 دیدن
14387 آن
1 نا + محتمل
3299 میکند
240 چنانچه
487 پژوهشگران
450 درست
37 حدس
226 زده
88 یافتههای
1178 میتواند
12580 برای
490 تشخیص
239 حجم
51 ضخامت
275 دقیق
164 مزبور
4582 مورد
2178 استفاده
5260 قرار
484 گیرد
16 مشروح
640 شماره
154 مجله
25 نیچر
659 چاپ
600 رسیده
66 #D
69 دمشق
5 ، + D
1390 واحد
1343 مرکزی
1219 خبر
752 مصرف
78 مداوم
16 موز
969 مشکلات
707 دستگاه
19 گوارش
119 برطرف
1593 کردن
5 نفخ
68 معده
1454 پایان
659 دهد
1589 روزنامه
9 تشرین
525 نوشت
21779 :
563 تحقیقات
435 پزشکی
1707 نشان
1809 داده
39 اعتقادات
39 شایع
